url,title,salary,experiment,degree,location,industry,so_luong,gender,jd,requirement,benefit
https://timviecnhanh.com/tuyen-nhan-vien-tu-van-cham-soc-khach-hang-qua-dien-thoai-data-co-san-may-tinh-co-san-lam-tai-nha-thu-nhap-20-trieu-tp-hcm-100128836.html?svs=max_box,"Nhân Viên Tư Vấn, Chăm Sóc Khách Hàng Qua Điện Thoại - Data Có Sẵn, Máy Tính Có Sẵn, Làm Tại Nhà, Thu Nhập 20 Triệu",15 - 20 triệu,Dưới 1 năm,Trung cấp,TP.HCM,Kinh doanhChăm sóc khách hàngHành chính/Thư ký/Trợ lý,20,Không yêu cầu,"- Phỏng vấn online, đào tạo online, làm việc tại nhà (không cần lên công ty) trong mùa dịch.- Dự án sữa dinh dưỡng Hoa Kỳ.- Thực hiện cuộc gọi đến khách hàng từ nguồn dữ liệu khách hàng của Công ty để tư vấn sản phẩm sữa dinh dưỡng của công ty.- Cung cấp thông tin về sản phẩm, giới thiệu các chương trình khuyến mãi đến khách hàng.- Đảm bảo và chịu trách nhiệm về sự chính xác và kịp thời của các thông tin trên báo cáo và hệ thống.- Thời gian làm việc từ thứ 2 - thứ 7, Giờ hành chính từ 8h30 - 17h30 (nghỉ trưa 1 tiếng).","- Không giới hạn ngành nghề ứng tuyển- Có kinh nghiệm tối thiểu từ 6 tháng trở lên về telesales hoặc các ngành liên quan.- Định hướng phát triển trong ngành telesales, dịch vụ khách hàng.- Giọng nói rõ ràng, dễ nghe- Tự tin, trao đổi lưu loát, xử lý tình huống linh hoạt.","* Làm việc tại nhà (Hỗ trợ đầy đủ thiết bị, Thưởng, Không giảm lương, Không trễ lương):- Được Công ty hỗ trợ máy tính, điện thoại và bộ phát wifi, tai nghe... do cty cung cấp đến tận nhà.- Lương cứng 7.000.000 đồng/tháng + KPI (tổng thu nhập từ 15 - 20 triệu/tháng).- Lương tháng 13, xét tăng lương 1 lần/năm.- Thưởng Contest tháng, Contest quý, Contest năm cho các bạn Top - Performance (hiện kim và quà tặng).- Data chất lượng do công ty cung cấp sẵn.- Được đào tạo chuyên môn trước khi bắt đầu làm việc.- Đóng bảo hiểm và hưởng mọi quyền lợi theo luật lao động.- Tiệc sinh nhật, quà kết hôn, các chuyến du lịch, team building..."
https://timviecnhanh.com/tuyen-nhan-vien-thiet-ke-ha-noi-100129864.html?svs=max_box,Nhân Viên Thiết Kế,10 - 12 triệu,Không yêu cầu kinh nghiệm,Không yêu cầu,Hà Nội,Thiết kế/Mỹ thuậtQuảng cáo/Marketing/PRXây dựng,2,Không yêu cầu,"- Phối hợp với kinh doanh kiểm tra hồ sơ, lên phương án thiết kế và trào giá và phát sinh - Phối hợp với phòng kế toán tiến thành công tác thanh toán- Lập hồ sơ thẩm duyệt – nghiệm thu PCCC- Khảo sát bóc tách khối lượng vật tư hệ thống PCCC	- Triển khai thiết kế và bảo vệ phương án thiết kế	Hồ sơ- Làm việc với cơ quan chức năng để bảo vệ phương án thiết kế	Biên bản- Xuất hồ sơ, bàn giao và nghiệm thu	- Tham gia học những module cần thiết phục vụ công việc- Thời gian làm việc: 08g00 đến 17g30 ( Nghỉ trưa 1,5 giờ) Nghỉ ½ thứ bảy và ngày chủ nhật","- Tham gia đề xuất giải pháp thực hiện công việc có hiệu quả nhất- Tham gia đóng góp ý kiến trong các cuộc họp trong trường hợp được triệu tập;- Tham gia các họat động xây dựng văn hoá doanh nghiệp;- Sáng tạo, tỉ mỉ trong công việc","- Lương cứng + Phụ cấp - Được thưởng các ngày Lễ, Tết, thưởng cuối năm; thưởng thi đua.- Tham gia BHXH theo Luật quy định của Nhà Nước .- Được tham gia đóng bảo hiểm, thưởng Lễ, tết. Tham gia du lịch theo chương trình Công ty tổ chức 1 năm/ 1 lần …- Xét tăng lương, tăng bậc theo năng lực thực tế. - Được tham gia các khóa Đào tạo về chuyên môn, nghiệp vụ.- Được đào huấn luyện kỹ năng, chuyên môn để phục vụ công việc."
https://timviecnhanh.com/tuyen-nhan-vien-sale-luong-tren-20-trieu-thu-nhap-thu-dong-tp-hcm-100131266.html?svs=max_box,Nhân Viên Sale Lương Trên 20 Triệu (Thu Nhập Thụ Động),25 - 30 triệu,1 năm,Trung học,TP.HCMTây NinhNước ngoàiToàn quốc,Kinh doanhChăm sóc khách hàngBán hàng,2,Không yêu cầu,"- Trực điện thoại, tư vấn dịch vụ của công ty cho khách hàng- Tích cực tìm kiếm và phát triển khách hàng tiềm năng, thiết lập qua hệ lâu dài với khách hàng- Làm việc tại Mộc Bài, công ty sẽ làm VISA miễn phí để ứng viên thuận tiện làm việc- Khách hàng là người Việt Nam","tốt nghiệp trung học phổ thông trở lên- Tuổi dưới 32- Ưu tiên có kinh nghiệm sale online, marketing online, telesales, ,...- Kiên trì, chịu áp lực cao, có trách nhiệm , kỹ năng giao tiếp.- Sẽ đào tạo thêm khi chưa có kinh nghiệm- Sử dụng tin học văn phòng word, excel ","- Lương thử việc 850 usd, thử việc 2 tháng.- Lương chính thức 1050 usd +%hoa hồng- Công ty cung cấp ăn ở, xe đưa đón đi làm- Phép năm : 17 ngày ( 12 ngày phép của 12 tháng+5 ngày nghỉ tết ) + thêm ngày nghỉ du lịch với công ty 1-2 lần/năm- Ngoài ra còn được nghỉ phép ốm , tang sự, kết hôn , sinh con, ...Toàn bộ đều hưởng lương.- Công ty bao ăn ở : điều kiện đầy đủ- Làm việc trên một năm sẽ được hưởng chế độ lương tháng thứ 13,Tùy thuộc vào năng lực sẽ thưởng đến tháng thứ 14 – 15. - Thưởng sinh nhật 50$ hôn lễ 100$, sinh con 100$,...- Bộ phận liên hoan ăn uống mỗi tháng.- Trợ cấp vé máy bay là 1 năm 200$- Tăng lương 3 tháng/lần và xét thăng bậc- Công ty thường tổ chức vui chơi để cổ vũ tinh thần làm việc- Môi trường làm việc năng động, văn hóa đa quốc gia"
https://timviecnhanh.com/tuyen-tro-ly-tieng-trung-thu-nhap-tu-25-40-trieu-tp-hcm-100131261.html?svs=max_box,Trợ Lý Tiếng Trung (Thu Nhập Từ 25-40 Triệu),25 - 30 triệu,1 năm,Trung cấp,TP.HCMTây NinhNước ngoàiToàn quốc,Hành chính/Thư ký/Trợ lýNgoại ngữBiên dịch/Phiên dịch,2,Không yêu cầu,"- Dịch toàn bộ các tài liệu nội bộ của công ty (Tiếng Trung sang tiếng Việt và ngược lại).- Giúp công ty phiên dịch đối thoại với nhân viên Việt Nam.- Tổ chức cuộc họp với quản lý để nắm bắt ý tưởng và chuyển tải nội dung đến nhân viên người Việt.- Hỗ trợ giúp quản lý phiên dịch ngay tại hiện trường công việc.- Sắp xếp lịch làm việc của quản lý, lập kế hoạch và thông báo các cuộc họp, lập biên bản cuộc họp và theo dõi diễn tiến tình hình.- Thông báo thông tin, liên lạc, phối hợp báo cáo thủ tục hành chính.- Chịu trách nhiệm theo dõi tài liệu, thu thập dữ liệu và xử lý thông tin.- Hoàn thành các nhiệm vụ quản lý để ra.- Làm việc tại Mộc Bài, công ty sẽ làm VISA miễn phí để ứng viên thuận tiện làm việc","1.Khả năng ngoại ngữ:-Tiếng Việt: Thành thạo nghe, nói, đọc, viết.-Tiếng Trung: Thành thạo nghe, nói, đọc, viết.2.Các điều kiện khác:- Độ tuổi 18-32- Sử dụng thành thạo phần mềm Office.- Hiểu biết và thông thạo việc đối thoại giao tiếp và dịch tài liệu Việt - Trung.- Có tính sáng tạo, kiên nhẫn, kĩ năng giao tiếp và phối hợp làm việc tốt.- Khả năng giao tiếp ngoại ngữ lưu loát, lịch sự, khéo léo, ứng xử linh hoạt và xử lý các tình huống tốt.- Biết linh động, chủ động giải quyết các vấn đề được chỉ định bởi cấp trên.","-Lương cơ bản giao động 1000USD - 1500USD-Phụ thuộc vào năng lực để thảo luận mức lương cơ bản:-Phúc lợi được hưởng:1. Nghỉ 4 ngày / tháng.2. Công ty cung cấp ăn ở, xe đưa đón đi làm.4. Được nghỉ phép quay về Việt Nam 6 tháng / lần. Một năm có 12 ngày phép.5. Thưởng sinh nhật, hôn lễ, sinh con và nhiều hạng mục khác.6. Làm việc trên một năm sẽ được hưởng chế độ lương tháng thứ 13. Tùy thuộc vào năng lực sẽ thưởng đến tháng thứ 14 – 15.7. Công ty luôn dựa theo năng lực xét tuyển để đề cử thắng cấp tăng lương thường xuyên.8. Công ty thường tổ chức các hoạt động ăn uống vui chơi để cổ vũ tinh thần làm việc tích cực của nhân viên.9. Môi trường làm việc thoải mái và vui vẻ, văn hóa đa quốc gia."
https://timviecnhanh.com/tuyen-shopee-hcm-nhan-vien-cham-soc-khach-hang-xoay-ca-tp-hcm-100127821.html?svs=max_box,Shopee HCM - Nhân Viên Chăm Sóc Khách Hàng (Xoay ca),5 - 7 triệu,Dưới 1 năm,Trung cấp,TP.HCM,Chăm sóc khách hàngHành chính/Thư ký/Trợ lýKinh doanh,20,Không yêu cầu,"- Tiếp nhận và giải đáp thắc mắc cho khách hàng các vấn đề liên quan đến sàn thương mại điện tử Shopee.- Ghi nhận và chuyển thông tin đến các phòng ban liên quan để hỗ trợ cho khách.* Sau khi ứng tuyển, bộ phận nhân sự sẽ có cập nhật thông tin đến bạn qua email, bạn lưu ý kiểm tra email thường xuyên nhé.* Thời gian làm việc xoay ca",- Tốt nghiệp THPT trở lên.- Tuổi từ 18 đến 32.- Tối thiểu 6 tháng kinh nghiệm CSKH.- Đã tiêm ít nhất 1 mũi Vacxin phòng Covid 19,"- Thu nhập: Lương cứng: 6.000.000VND/tháng + thưởng theo năng lực.- Phụ cấp gửi xe.- Bảo hiểm đầy đủ theo luật lao động.- Lương tháng thứ 13- Xét tăng lương 1 lần/năm- Xét thưởng hàng tháng.- Tặng quà vào các dịp Lễ, Tết trong năm- Tổ chức sinh nhật, team building, các chuyến du lịch, tặng quà kết hôn,…"
https://timviecnhanh.com/tuyen-nhan-vien-tu-van-cskh-website-thuong-mai-dien-tu-ha-noi-hcm-binh-duong-ha-noi-100130847.html?svs=max_box,"Nhân Viên Tư Vấn - CSKH Website Thương Mại Điện Tử (Hà Nội, HCM, Bình Dương).",12 - 15 triệu,Không yêu cầu kinh nghiệm,Trung cấp,Hà NộiTP.HCMBà Rịa - Vũng TàuBình DươngHải Phòng,Kinh doanhBán hàngChăm sóc khách hàng,10,Không yêu cầu,"- Tư vấn, giới thiệu đến các khách hàng tiềm năng sử dụng các sản phẩm, dịch vụ đăng tin, quảng cáo trực tuyến trên nền tảng website batdongsan.com.vn - trang web được tổ chức đánh giá website danh tiếng là Comscore và SimilarWeb đánh giá là kênh thông tin số 1 về bất động sản và có lượng truy cập lớn nhất Đông Nam Á (chủ yếu qua điện thoại)- Đàm phán trực tiếp với khách hàng và ký kết các hợp đồng dịch vụ- Tìm kiếm, chăm sóc và mở rộng mạng lưới khách hàng của công ty- Làm việc tại: + Hà Nội: Tầng 31, Keangnam Landmark 72, Nam Từ Liêm, Hà Nội + TP.HCM Chi nhánh Q5: Tầng 8, Tòa nhà Xổ số Kiến thiết (Lottery Tower), Số 77 Trần Nhân Tôn, Phường 9, Quận 5;TP.HCM Chi nhánh Q10: Phòng 2.01, 3.01 & 3.02 (Tháp B), Tòa nhà ViettelComplex, 285 Cách Mạng Tháng Tám, Quận 10, TP.HCM+ Vũng Tàu: Tầng 4, Tòa nhà ACB, số 111 Hoàng Hoa Thám, phường 2, TP. Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu+ Đồng Nai: Lầu 18, Tòa Pegasus, số 53-55 đường Võ Thị Sáu, phường Quyết Thắng, TP. Biên Hoà, tỉnh Đồng Nai+ Bình Dương: Phòng 10, Tầng 16, Becamex Tower, số 230 Đại lộ Bình Dương, P.Phú Hòa, TP.Thủ Dầu Một, tỉnh Bình Dương+ Hải Phòng: Phòng 502, TD Business Center, lô 20A Lê Hồng Phong, quận Ngô Quyền, TP. Hải Phòng+ Đà Nẵng: Tầng 9, Tòa nhà Vĩnh Trung Plaza, số 255 – 257 Hùng Vương, phường Vĩnh Trung, quận Thanh Khê, TP. Đà Nẵng+ Nha Trang: Tầng 6, Tòa nhà CTCP Điện Lực Khánh Hòa, 11 Lý Thánh Tôn, Phường Vạn Thạnh, TP Nha Trang, Khánh Hòa","- Nam/Nữ tốt nghiệp trung cấp trở lên đối với bạn chưa có kinh nghiệm (THPT nếu đã có kinh nghiệm); ưu tiên ứng viên đã có kinh nghiệm về kinh doanh, bán hàng, chăm sóc khách hàng hoặc telesales;- Chấp nhận sinh viên mới ra trường nhưng có đam mê và tố chất kinh doanh;- Kỹ năng giao tiếp, thuyết phục và đàm phán tốt; Có sự kiên trì của người làm telesales; Không nói ngọng, nói lắp, không nói giọng địa phương.","- HCM, Hà Nội: Thu nhập từ 10-15tr, gồm lương cứng 6 triệu + % hoa hồng cao + thưởng + phụ cấp; Sau 2 tháng nếu làm tốt ngay lập tức review lương cứng lên 7-8 triệu. - Tại chi nhánh: Hải Phòng, Nha Trang, Đà Nẵng, Bình Dương, Đồng Nai, Vũng Tàu: Lương cứng 5 triệu + % hoa hồng. Sau 2 tháng nếu làm tốt ngay lập tức review lương cứng lên 5.5 - 6 triệu. - Review lương cứng ít nhất 1 năm 1 lần;- Hoa hồng lũy tiến: 4,8 - 8,5%;- Làm việc trong giờ hành chính, từ Thứ 2 đến Thứ 6, 8h - 17h45 - Được làm việc tại môi trường 100% vốn đầu tư nước ngoài. Cơ hội học tập và lộ trình thăng tiến rõ ràng.- Thưởng tháng lương 13, thưởng tất cả các ngày nghỉ Lễ và Tết trong năm từ 300,000 VNĐ đến 500,000 VNĐ; thưởng theo quý, thưởng KPI; khám sức khỏe định kỳ; du lịch teambuilding, nghỉ mát hàng năm; 12 ngày phép/năm- Được hưởng đầy đủ các chế độ cho người lao động theo luật lao động Việt Nam (BHXH, BHYT, BHTN…), Bảo hiểm chăm sóc sức khỏe toàn diện khi làm từ đủ 6 tháng;- Được tham gia các khóa đào tạo kỹ năng & nghiệp vụ của công ty;- Được làm việc trong môi trường văn hóa doanh nghiệp trẻ, năng động, thân thiện và chuyên nghiệp."
https://timviecnhanh.com/tuyen-nhan-vien-kinh-doanh-dich-vu-buu-chinh-tp-hcm-100127297.html?svs=max_box,Nhân Viên Kinh Doanh Dịch Vụ Bưu Chính,7 - 10 triệu,Dưới 1 năm,Trung cấp,TP.HCM,Kinh doanhBưu chính viễn thôngPhát triển thị trường,10,Không yêu cầu,"- Chào bán các sản phẩm, dịch vụ Bưu chính- Xây dựng ý tưởng tiếp thị, kinh doanh sản phẩm- Chăm sóc khách hàng;- Tìm kiếm và lập danh sách khách hàng tiềm năng- Tiếp thị và phát triển khách hàng sử dụng sản phẩm, dịch vụ chuyển phát thư từ, hàng hóa qua đường bưu điện;- Thực hiện các công việc khác theo yêu cầu của người quản lý trực tiếp.* Bưu điện TPHCM sẽ có thời gian đào tạo về hình thức tiếp thị, các loại hợp đồng, cách giao kết HĐ,... khi ứng viên nhận việc.* Địa điểm làm việc: một trong các đơn vị trực thuộc BĐHCM tại Q. Bình Thạnh, Q. Tân Bình, Q.7, H. Bình Chánh,...","- Nam/Nữ, tuổi từ 22t – 35t; tốt nghiệp từ bậc Trung cấp trở lên ưu tiên ứng viên tốt nghiệp các chuyên ngành bưu chính viễn thông, hoặc các ngành thuộc khối kinh tế, quản trị kinh doanh, thương mại, marketing ;- Ưu tiên ứng viên có kinh nghiệm bán hàng, dịch vụ khách hàng ;- Khả năng đàm phán, giao tiếp tốt; giọng nói dễ nghe ;- Chăm chỉ, nhanh nhẹn, có trách nhiệm trong công việc.","- Lương = Lương + phụ cấp tiền ăn giữa ca, xăng, chi phí điện thoại + Lương theo doanh số;- Được hưởng các chế độ về theo quy định Bưu điện thành phố;- Được tham gia các lớp đào tạo, tập huấn kỹ năng;- Môi trường làm việc: Chuyên nghiệp - Năng động - Thân thiện;- Cơ hội để phát triển nghề nghiệp với Bưu điện thành phố;- Chế độ phúc lợi, đãi ngộ: Nghỉ và thưởng các ngày lễ, tết, phép, thăm hỏi, du lịch, nghỉ mát;- Được tham gia các lớp đào tạo, tập huấn kỹ năng."
https://timviecnhanh.com/tuyen-nhan-vien-tu-van-ban-hang-tai-thu-duc-khong-yeu-cau-kinh-nghiem-tp-hcm-100127544.html?svs=max_box,Nhân Viên Tư Vấn Bán Hàng Tại Thủ Đức (Không Yêu Cầu Kinh Nghiệm),10 - 12 triệu,Chưa có kinh nghiệm,Trung cấp,TP.HCM,Kinh doanh,20,Không yêu cầu,"- Liên hệ khách hàng giới thiệu, tư vấn, bán những sản phẩm hàng đầu trong lĩnh vực làm đẹp và chăm sóc sức khỏe của ADIVA. (Được cung cấp sẵn data khách hàng)- Quản lý dữ liệu khách hàng.- Chủ động tìm hiểu và chuẩn bị kịch bản gọi khách hàng.- Cập nhật và báo cáo doanh số- Các công việc khác bổ trợ cho việc bán hàng theo yêu cầu của trưởng bộ phận","- Độ tuổi từ đủ 18tuổi- Giọng nói dễ nghe, tự tin và thuyết phục khách hàng.- Biết chú trọng khách hàng và theo đuổi mục tiêu.- Nhiệt tình, trung thực, và tinh thần đồng đội.- Yêu thích các công việc CSKH, bán hàng,...(Ứng viên không có kinh nghiệm sẽ được đào tạo hướng dẫn nghiệp vụ, chỉ cần chăm học hỏi).","- Lương cứng 6 triệu + hoa hồng và thưởng--> Thu nhập từ 9tr-14r/tháng hoặc cao hơn tùy theo năng lực.- Thời gian làm việc: Giờ hành chính 9h00 – 18h từ thứ 2 – thứ 7 (nghỉ trưa từ 12h – 13h, nghỉ chủ nhật).* Cơ hội huấn luyện:- Được tham gia khóa đào tạo miễn phí về chăm sóc da, sản phẩm, cách thức tiếp cận khách hàng và bán sản phẩm .- Được tham gia các khóa huấn luyện/đào tạo nâng cao kỹ năng nghiệp vụ và kỹ năng mềm.* Đồng nghiệp:- Môi trường làm việc chuyên nghiệp,trẻ trung, tha hồ ăn vặt, order trà sữa,… cùng đồng nghiệp- Được tham gia BHXH, BHYT, ......- Được hưởng các ngày nghỉ phép/lễ/tết...theo luật định và chính sách công ty- Tham gia teambuiding cùng công ty hàng năm."
https://timviecnhanh.com/tuyen-nhan-vien-kinh-doanh-luong-cung-11-trieu-ho-tro-dao-tao-mkt-tp-hcm-100130082.html?svs=max_box,Nhân Viên Kinh Doanh Lương Cứng 11 Triệu (Hỗ Trợ Đào Tạo + Mkt),12 - 15 triệu,Không yêu cầu kinh nghiệm,Không yêu cầu,TP.HCM,Bất động sảnBán hàngLao động phổ thông,10,Không yêu cầu,"- Tìm kiếm và khai thác nguồn khách hàng tiềm năng có nhu cầu mua/đầu tư bất động sản- Giới thiệu, tư vấn cho khách hàng những thông tin liên quan đến sản phẩm- Hỗ trợ chăm sóc khách hàng trước, trong và sau bán hàng.- Tiếp nhận thông tin phản hồi từ khách hàng về sản phẩm, dịch vụ của Công ty.- Thực hiện các công việc chung của Công ty theo sự phân công của cấp trên.- Địa chỉ lam việc 1: Số 15-17 Mê Linh, Phường 19, Quận Bình Thạnh - Địa chỉ làm việc 2: Số 30 Lê Thị Chợ, Phường Phú Thuận, Quận 7(Ứng viên có thể chọn 1 trong 2 địa điểm để làm việc).","- Không yêu cầu kinh nghiệm, ưu tiên cho sinh viên mới ra trường.- Có phương tiện đi lại và máy tính cá nhân.- Giao tiếp tốt- Đam mê kinh doanh đặc biệt kinh doanh bất động sản.- Nhiệt tình, hòa đồng, ham học hỏi, cầu tiến trong công việc.","- Mức lương cơ bản lên đến 11 Triệu/tháng, KHÔNG ÁP DOANH SỐ- Hoa hồng cao: 30%-40% Doanh thu, CHI TRẢ NGAY KHÔNG CHỜ CHỦ ĐẦU TƯ THANH TOÁN- Thưởng nóng 30-50 Triệu/sản phẩm, NHẬN NGÀY SAU KHI CỌC- Data khách hàng có sẵn- Được hỗ marketing.- Được đào tạo, hướng dẫn kỹ năng chốt sale, MỘT KÈM MỘT- Đào tạo kỹ năng cơ bản đến nâng cao.- Được tham gia BHXH, BHYT, BHTN theo quy định.- Cơ hội thăng tiến nhanh.- Được đi du lịch trong và ngoài nước.- Chính sách sinh nhật, hiếu hỉ, ma chay, ốm đau, 8/3, 20/10, trung thu, ..."
https://timviecnhanh.com/tuyen-vp-bank-chuyen-vien-khach-hang-ca-nhan-ha-noi-100130430.html?svs=max_box,(Vp Bank) Chuyên Viên Khách Hàng Cá Nhân,12 - 30 triệu,1 năm,Trung cấp,Hà Nội,Kinh doanhTài chính/Kế toán/Kiểm toánNgân hàng/Chứng khoán/Đầu tư,5,Không yêu cầu,"- Tìm kiếm, chăm sóc và mở rộng nhóm KH có nhu cầu Vay Tín Chấp và Thẻ Tín Dụng- Thực hiện các phương thức nâng cao hiệu quả bán hàng- Phát triển khách hàng mới, tập trung vào các nghiệp vụ kinh doanh nhằm đạt chỉ tiêu cá nhân- Sẽ được đào tạo về nghiệp vụ và các sản phẩm của ngân hàng, cách thức tiếp cận khách hàng, được hỗ trợ data...","- Có tối thiểu 1 năm kinh nghiệm làm tín dụng cá nhân/doanh nghiệp tại các tổ chức tài chính và Ngân hàng. Hoặc có kinh nghiệm làm nhân viên kinh doanh, bảo hiểm là lợi thế.- Có khả năng tạo dựng quan hệ tốt với Khách hàng- Năng động, chăm chỉ, khả năng chịu áp lực công việc tốt","- Lương cơ bản : 8 - 18tr tương ứng với vị trí ( 6 tháng review lên 1 lần )Nhân viên chính thứcChuyên viênChuyên viên chínhChuyên viên cấp cao+ Lương đạt target + incentive + thưởng doanh số vượt+ Thưởng lương tháng 13 + Thưởng tết âm (2-5 tháng lương)+ Thưởng tết dương ( tối thiểu 1tr)+ Thưởng các ngày lễ ( tối thiểu 1tr)+ Thưởng sinh nhật+ Du lịch hè 5tr+ Chuyên viên được vay thế chấp hạn mức 2 tỷ sau 1 năm làm việc ( lãi 3,5%)"
