url,title,company,salary,experiment,degree,so_luong,industry,location,level,jd,benefit,requirement
https://vieclam24h.vn/nhan-vien-kinh-doanh/nhan-vien-kinh-doanh-linh-vuc-chuyen-phat-nhanh-quoc-te-khong-can-kinh-nghiem-c159p73id100130378.html?svs=max_box,Nhân Viên Kinh Doanh Lĩnh Vực Chuyển Phát Nhanh Quốc Tế (Không Cần Kinh Nghiệm),Chi nhánh Công ty cổ phần Vận tải và Chuyển phát nhanh An Pha tại Hà Nội,10 - 40 triệu,Chưa có kinh nghiệm,Cao đẳng,5,Quản trị kinh doanhNgoại thương - Xuất nhập khẩuNhân viên kinh doanh,Hà Nội,Chuyên viên- nhân viên,"- Chủ động tìm kiếm thông tin khách hàng mới, thực hiện tiếp thị, phát triển khách hàng mới theo địa bàn được phân công phụ trách- Trực tiếp thực hiện thương thảo, tư vấn cho khách hàng về dịch vụ, soạn thảo ký kết hợp đồng sử dụng dịch vụ- Chủ động chăm sóc, quản lý, nắm bắt, trao đổi thông tin, duy trì mối quan hệ với khách hàng hiện đang quản lý- Hoàn thành các mục tiêu và chỉ tiêu doanh thu do Công ty đề ra.- Thực hiện các công việc khác do quản lý giao phó","- Lương cứng 5 triệu + hoa hồng => Thu nhập từ 10-40 triệu / tháng- Đóng bảo hiểm 100% cho công nhân viên viên, lên chính thức sẽ được hưởng chế độ của công ty luôn.- Được nghỉ Lễ, Tết theo quy định của Nhà nước- Có data sẵn công ty hỗ trợ- Được trang bị máy tính, điện thoại cá nhân cho nhân sự mới - Du Lịch hàng năm theo công ty- Phụ cấp theo quy định công ty - Đào tạo chuyên nghiệp trong quá trình làm việc- Tăng lương theo thâm niên làm việc- Chế độ nghỉ phép theo quy định nhà nước","- Ưu tiên có kinh nghiệm làm trong lĩnh vực giao nhận vân tải (freight forwarding), logistics, các ngành kinh doanh khác có mối quan hệ tốt với các công ty xuất nhập khẩu, các doanh nghiệp đầu tư SX- NK- Có kiến thức cơ bản về nghiệp vụ ngoại thương, vận tải- bảo hiểm, thanh toán quốc tế, incoterms...- Có hiểu biết tốt về thị trường- Có kỹ năng đàm phán, giao tiếp tốt.- Có kỹ năng Sale, chưa có kinh nghiệm sẽ được đào tạo."
https://vieclam24h.vn/ban-hang/nhan-vien-ban-hang-tai-showroom-thu-nhap-tren-15-trieu-c113p73id100126507.html?svs=max_box,Nhân Viên Bán Hàng Tại Showroom Thu Nhập Trên 15 Triệu,CÔNG TY CỔ PHẦN THẾ GIỚI BẾP,15 - 20 triệu,Dưới 1 năm,Trung cấp,3,Bán hàngNhân viên kinh doanhTư vấn,Hà Nội,Chuyên viên- nhân viên,"- Làm việc tại Showroom BigC The Garden, Mễ Trì, Quận Nam Từ Liêm, Hà Nội- Giới thiệu, tư vấn, thuyết phục, lựa chọn những sản phẩm thỏa mãn với nhu cầu của khách hàng.- Tư vấn giới thiệu cho khách hàng Online qua điện thoại, chat Fanpage FB, chat WEB.- Trưng bày hàng hóa, chăm sóc hình ảnh cửa hàng - Những mặt hàng kinh doanh : Thiết bị đồ gia dụng nhà bếp Bosch: Bếp từ, hút mùi, máy rửa bát, lò vi sóng, lò nướng, tủ lạnh, máy giặt, máy sấy; Chậu vòi Blanco; Gia dụng WMF như xoong, nồi chảo, dao, dĩa, nồi áp suất……","- Thu nhập: Từ 15-30 Triệu / Tháng- Lương thử việc 1- tháng đầu trả 100 % - Chính thức gồm: lương cơ bản + lương trách nhiệm + thưởng hiệu quả kinh doanh- Được đào tạo kỹ năng bán hàng chuyên nghiệp.- Cơ hội thăng tiến, nâng cao thu nhập cho người có năng lực, tâm huyết và gắn bó lâu dài.- Làm việc trong một môi trường trẻ, năng động, tôn trọng công bằng - minh bạch - chân thành- Được tiếp cận với ngành hàng cao cấp, khách hàng #lịch_sự #tinh_tế- Kí hợp đồng làm việc lâu dài, đóng bảo hiểm XH.- Thưởng hoàn thành kế hoạch cuối năm dựa vào kết quả hoạt động kinh doanh- Các họat động tập thể: Gala Dinner, Teambuilding, Nghỉ mát hàng năm, Trại hè, Hội thao,…- Các hoạt động công đoàn: Quà tặng nhân dịp 8/3, 20/10, Quốc tế Thiếu nhi 1/6, Đêm hội Trăng rằm, Lễ hội Mùa hè cho con của CBCNV, Quà mừng kết hôn, sinh nhật, thành lập công ty, thăm hỏi ốm đau, ma chay...","- Có kinh nghiệm về bán hàng, yêu thích bán hàng là một lợi thế- Kinh nghiệm từ 6 tháng - 1 năm trở lên- Ngoại hình ưa nhìn"
https://vieclam24h.vn/dich-vu/shopee-nhan-vien-cham-soc-khach-hang-c133p122id100127071.html?svs=max_box,Shopee - Nhân Viên Chăm Sóc Khách Hàng,Chi Nhánh Công Ty TNHH Transcosmos Việt Nam Tại Thành Phố Hồ Chí Minh,5 - 7 triệu,Dưới 1 năm,Trung học,15,Dịch vụThương mại điện tửTư vấn,TP.HCM,Chuyên viên- nhân viên,"MÔ TẢ CÔNG VIỆC- Tiếp nhận và giải đáp thắc mắc cho khách hàng các vấn đề liên quan đến sàn thương mại điện tử Shopee.- Ghi nhận và chuyển thông tin đến các phòng ban liên quan để hỗ trợ cho khách.ĐỊA ĐIỂM VÀ THỜI GIAN LÀM VIỆC:- Lầu 10, Tòa nhà Scetpa, 19A Cộng Hòa, Phường 12, Q.Tân Bình, TP.HCM- Thời gian làm việc: 8 tiếng/ngày, xoay ca trong khung giờ 6h-22h, off 1 ngày bất kì trong tuần (KHÔNG LÀM ĐÊM).","- Thu nhập: Lương cứng: 6.300.000VND/tháng + thưởng theo năng lực.- Phụ cấp gửi xe.- Bảo hiểm đầy đủ theo luật lao động.- Lương tháng thứ 13- Xét tăng lương 1 lần/năm- Xét thưởng hàng tháng.- Tặng quà vào các dịp Lễ, Tết trong năm- Tổ chức sinh nhật, team building, các chuyến du lịch, tặng quà kết hôn,…",- Tốt nghiệp THPT trở lên.- Tuổi từ 18 đến 32.- Tối thiểu 6 tháng kinh nghiệm CSKH.- Đã tiêm ít nhất 1 mũi Vacxin phòng Covid 19
https://vieclam24h.vn/ban-hang/nhan-vien-tu-van-ban-hang-ha-noi-c113p73id100128704.html?svs=max_box,Nhân Viên Tư Vấn Bán Hàng Hà Nội,Tập đoàn vàng bạc đá quý DOJI,7 - 10 triệu,1 năm,Trung cấp,10,Bán hàngNhân viên kinh doanhThời trang,Hà Nội,Chuyên viên- nhân viên,"- Tư vấn, giới thiệu và bán sản phẩm Vàng, Bạc trang sức cao cấp;- Hỗ trợ khách hàng về các chính sách liên quan đến bán hàng;- Trưng bày và quản lý, theo dõi hàng hóa tại quầy hàng được giao;- Thể hiện hình ảnh, thương hiệu, phong cách bán hàng chuyên nghiệp;Làm việc tại các trung tâm trang sức DOJI tại Hà Nội","- Thu nhập từ 6 - 9 triệu / tháng;- Hỗ trợ tiền ăn ca và trang điểm;- Đóng BHXH, BHYT, BHTN sau khi thử việc;- Thời gian làm việc: Theo ca luân phiên (trung bình 8 tiếng / ngày và 26 ngày / tháng);- Ca sáng: 08h30 - 14h30- Ca chiều: 14h00 - 20h00","- Nam / Nữ, sức khỏe tốt, ngoại hình cân đối, ưa nhìn;- Tuổi từ 22 - 35;- Ưu tiên ứng viên có kinh nghiệm bán hàng tại các thương hiệu cao cấp."
https://vieclam24h.vn/khach-san-nha-hang/nhan-vien-le-tan-toa-nha-chung-cu-q-4-q-binh-tan-h-binh-chanh-giap-long-an-c115p122id100127021.html?svs=max_box,"Nhân Viên Lễ Tân Tòa Nhà Chung Cư - Q.4, Q.Bình Tân, H.Bình Chánh Giáp Long An",Công ty TNHH Anabuki NL Housing Service Việt Nam,7 - 10 triệu,Dưới 1 năm,Trung cấp,8,Khách sạn - Nhà hàngHành chính - Văn phòngThư ký - Trợ lý,TP.HCMLong An,Chuyên viên- nhân viên,"1. Công tác lễ tân:- Đón tiếp khách, trực điện thoại, điều phối văn thư, tiếp nhận các yêu cầu, ý kiến, thắc mắc của cư dân/khách hàng và xử lý trong khả năng & quyền hạn cho phép.- Hướng dẫn và cung cấp thông tin cơ bản cần thiết cho khách hàng ra vào tòa nhà.- Thực hiện công tác CSKH như giải quyết thắc mắc khiếu nại trong phạm vi quyền hạn, hỗ trợ các dịch vụ, thăm hỏi, lấy ý kiến cư dân/khách hàng về chất lượng phục vụ của BQLTN/Nhà thầu dịch vụ.- Quản lý khu vực sảnh tòa nhà (Sảnh Lễ tân), khu vực tiếp đón khách.2. Công tác hành chính:- Hỗ trợ thông báo phí và thu phí quản lý và dịch vụ khác (thu hộ) tại chung cư, tòa nhà;- Lưu trữ hồ sơ, cập nhật các thông tin liên quan và báo cáo cho Ban Quản Lý;- Triển khai thực hiện các quy trình, biểu mẫu theo quy định;- Thực hiện theo quy trình đánh giá nhà thầu;- Hướng dẫn các thủ tục hành chính cho cư dân;- Soạn thảo các văn bản cho cấp quản lý;- Thực hiện các công việc liên quan khác.3. Thông tin khác:- Dự án tại Q. 7, H. Bình Chánh, Quận Bình Tân -TP.HCM.- Thời gian làm việc: Ca hành chính (Quận 7, H. Bình Chánh) và Xoay ca 8h (7 - 21h, Quận Bình Tân)- Phỏng vấn online trong tuần.","1. Thu nhập: Xứng đáng theo năng lực thực tế2. Phúc lợi:- Sinh nhật: Nghỉ có hưởng lương + 300.000 đồng;- Thưởng các ngày lễ: Tết Dương lịch, Âm lịch, 2/9, 30/4-1/5,...- Thưởng KPI, lương tháng 13, xét tăng lương định kỳ;- Tham gia đầy đủ BHXH, BHYT, BHTN theo qui định, khám sức khoẻ định kỳ- Đảm bảo các quyền lợi, chế độ theo quy định của Luật Lao động và các chính sách phúc lợi của Công ty.- Chế độ thăm hỏi ốm đau, hiếu/hỉ;- Du lịch và đào tạo hàng năm;- Có cơ hội được đào tạo ở Nhật Bản; được nâng cao kiến thức, chuyên môn hằng năm.3. Môi trường chuyên nghiệp, năng động, nhiều cơ hội thăng tiến và phát triển sự nghiệp","- Tốt nghiệp Trung cấp, Cao đẳng trở lên;- Có kinh nghiệm Lễ tân tòa nhà, khách sạn, chung cư là 1 lợi thế;- Kỹ năng tiếng anh giao tiếp (bắt buộc khi ứng tuyển tại dự án Quận 4, Quận 7)- Ngoại hình dễ nhìn, giọng nói nhẹ nhàng;- Kỹ năng giao tiếp, xử lý tình huống tốt với khách hàng;- Luôn giữ thái độ thân thiện và vui vẻ đối với khách hàng, cư dân và trong công việc.- Có thể đi làm ngay, tiêm ít nhất 01 mũi Vaccine phòng Covid 19."
https://vieclam24h.vn/ban-hang/nhan-vien-ban-hang-khong-can-kinh-nghiem-c113p73id100126462.html?svs=max_box,Nhân Viên Bán Hàng (Không Cần Kinh Nghiệm), Viện Nghiên cứu Da Giầy,7 - 8 triệu,Chưa có kinh nghiệm,Trung học,10,Bán hàngDịch vụTư vấn,Hà Nội,Chuyên viên- nhân viên,"- Thực hiện việc sắp xếp, trưng bày hàng hóa; giới thiệu sản phẩm;- Giao tiếp và hỗ trợ khách hàng lựa chọn sản phẩm, bán hàng- Chăm sóc, giải đáp mọi yêu cầu của khách hàng.- Đón tiếp và tiễn khách theo đúng quy định của trung tâm;- Giới thiệu và quảng bá về các sản phẩm cũng như chất lượng sản phẩm của trung tâm;- Phối hợp các nhân viên bán hàng khác thực hiện các công việc liên quan trang trí và vệ sinh cửa hàng hàng ngày;- Thực hiện các công việc khác do các cấp quản lý giao phó theo đúng quy định của trung tâm.- Làm việc theo ca, sáng: Từ 8h30 đến 15h30, chiều: Từ 15h00 đến 22h.","- Thời gian thử việc 1 tháng : lương 4 triệu/ tháng.- Chính thức lương cơ bản 7.5 đến 8 triệu/ tháng + thưởng doanh số tháng, quý, năm.- Cơ hội học hỏi và thăng tiến lên các vị trí cao hơn- Môi trường làm việc thân thiện, chuyên nghiệp và năng động.- Được đào tạo kỹ năng chuyên môn bài bản.- Chế độ đãi ngộ tốt cho những người gắn bó.- Công đoàn, các chế độ phúc lợi dành cho người lao độngTeambuilding, tiệc tất niên, du lịch…","- Trình độ học vấn: THPT trở lên.- Ngoại hình ưa nhìn, giao tiếp tốt ,không nói ngọng, chủ động trong côngviệc, có tinh thần làm việc tập thể- Có kỹ năng thuyết phục / đàm phán, kỹ năng bán hàng, chốt sale tốt.- Năng động , nhiệt tình, trung thực, thân thiện.- Nhạy bén, linh hoạt, khéo léo, thích nghi tốt .- Ưu tiên ứng viên có kinh nghiệm bán hàng ."
https://vieclam24h.vn/dien-dien-tu-dien-lanh/nhan-vien-bao-tri-dien-c136p119id100044743.html?svs=max_box,Nhân Viên Bảo Trì Điện,Công Ty TNHH Cheng Loong Bình Dương Paper,10 - 15 triệu,Chưa có kinh nghiệm,Cao đẳng,5,Công nghiệpĐiện - Điện tử - Điện lạnhKỹ thuật,Bình Dương,Chuyên viên- nhân viên,"Công việc yêu cầu đi ca, nếu cần thiết phối hợp tăng ca.1.Tổ điện động lực:- Kiểm tra sửa chữa PLC,MCC, động cơ xoay chiều,đèn,máy lạnh,..- Kiểm tra sửa chữa hệ thống điện cao áp -Quy hoạch cải tiến thiết bị.2.Tổ điện điều khiển:- Kiểm tra sữa chữa DCS,PLC-Kiểm tra sửa chữa van điều khiển,transmitter,thiết bị đo.-Quy hoạch cải tiến thiết bị.3. Tổ điện tử:-Kiểm tra sửa chữa động cơ, hệ thống truyền động SIEMENS-Kiểm tra sữa chữa máy lạnh,internet,điện thoại,PCCC,camera.-Quy hoạch cải tiến thiết bị.","- Được hưởng các chế độ theo quy định của nhà nước.- Công ty hỗ trợ cơm trưa, cơm tối (nếu tăng ca)- Thưởng lương tháng 13, các ngày lễ , tết.- Có ký túc xá (phòng GYM,Karaoke)- Công ty đang mở rộng sản xuất, hoan nghênh nhân viên có chí cầu tiến và tinh thần ham học hỏi gia nhập công ty","1.Tổ điện động lực:-Tốt nghiệp cao đẳng trở lên chuyên nghành điện công nghiệp,cơ điện.-Đọc được bản vẽ mạch điện động cơ cơ bản-Có kiến thức cơ bản về PLC-Không yêu cầu kinh nghiệm (ưu tiên nếu có bằng vận hành trạm điện A2)2.Tổ điện điều khiển:-Tốt nghiệp cao đẳng trở lên chuyên nghành tự động hóa, điện-điện tử,...-Xem được bản vẽ mạch điều khiển cơ bản.-Có kiển thức cơ bản về PLC, viết chương trình điều khiển.-Không yêu cầu kinh nghiệm (ưu tiên biết về viết chương trình DCS)-Quy hoạch cải tiến thiết bị.3. Tổ điện tử:-Tốt nghiệp cao đẳng trở lên chuyên nghành tự động hóa,điện tử,cơ điện.-Xem được bản vẽ mạch điều khiển cơ bản-Kiến thức cơ bản về PLC-Không yêu cầu kinh nghiệm (ưu tiên biết về bảo dưỡng hệ thống truyền động và viết chương trình PLC)"
https://vieclam24h.vn/ngan-hang/chuyen-vien-tu-doanh-blph-c154p73id100127795.html?svs=max_box,Chuyên Viên Tự Doanh & Blph,Công Ty Cổ Phần Chứng Khoán Ngân Hàng Công Thương Việt Nam,10 - 15 triệu,Dưới 1 năm,Đại học,2,Ngân hàngTài chính - Đầu tư,Hà Nội,Chuyên viên- nhân viên,"-Tìm kiếm, đánh giá, định giá các chứng khoán để đề xuất cơ hội đầu tư.-Đánh giá tình hình thị trường chứng khoán, kinh tế vĩ mô, để lựa chọn thời điểm đầu tư hiệu quả.-Phân tích, đánh giá dòng tiền doanh nghiệp-Theo dõi, đánh giá định kỳ các khoản đầu tư chứng khoán, đề xuất phương án bán khoản đầu tư chứng khoán;-Xây dựng và quản lý các hồ sơ chứng từ trong quá trình thực hiện nghiệp vụ đầu tư chứng khoán-Bổ sung và hoàn thiện các quy trình, quy chế, quy định của Công ty trong quá trình thực hiện nghiệp vụ.-Thực hiện các báo cáo liên quan tới hoạt động nghiệp vụ của bộ phận và các công việc khác theo yêu cầu của quản lý trực tiếp.Ứng viên điền CV theo form này : https://docs.google.com/document/d/1APV0mNK0JFRdZAu_HvyC9g4hPGPlVHkx/edit","- Tham gia đầy đủ BHXH, BHYT, BHTN,... theo quy định pháp luật - Thu nhập hấp dẫn cùng với các chế độ đãi ngộ khác: Thưởng và phúc lợi theo quy định của Công ty.- Cơ hội thăng tiến, được tạo điều kiện tối đa để phát huy hết khả năng.- Môi trường làm việc năng động, chuyên nghiệp và đầy thách thức.- Mức lương thỏa thuận theo năng lực ứng viên","- Tốt nghiệp Đại học trở lên (loại khá), hệ chính quy, chuyên ngành Tài chính, Ngân hàng, Kinh tế, Kế toán, Kiểm toán, Chứng khoán của các trường đại học công lập trong nước hoặc các trường đại học nước ngoài/ đại học nước ngoài hệ liên kết tại Việt Nam.Có kiến thức về nghiệp vụ đầu tư chứng khoán (cổ phiếu, trái phiếu, các loại chứng khoán phái sinh…); Có kiến thức về kinh tế vĩ mô, tài chính, ngân hàng, chứng khoán- Có kiến thức về phân tích, đánh giá, dự báo các thông tin trên thị trường tiền tệ và chứng khoán- Ưu tiên các ứng viên đã có năm kinh nghiệm làm việc trong lĩnh vực, tài chính, ngân hàng, chứng khoán, kiểm toán, kế toán- Độ tuổi không quá 40 tuổi tại thời điểm nộp hồsơ; Sức khỏe tốt- Kỹ năng giao tiếp tốt; Kỹ năng đàm phán; Kỹ năng giải quyết vấn đề- Kỹ năng quản lý thời gian, tổ chức công việc hiệu quả- Các yêu cầu về thể chất, điều kiện làm việc: thông minh, nhanh nhẹn, có trách nhiệm, nhiệt tình trong công việc, chịu được áp lực công việc- Kỹ năng làm việc độc lập và làm việc nhóm- Sử dụng thành thạo các chương trình phần mềm văn phòng Ứng viên điền CV theo form này : https://docs.google.com/document/d/1APV0mNK0JFRdZAu_HvyC9g4hPGPlVHkx/edit"
https://vieclam24h.vn/marketing-pr/nhan-vien-digital-marketing-thu-nhap-10-12-trieu-c116p122id100132397.html?svs=max_box,Nhân Viên Digital Marketing - Thu Nhập 10 - 12 Triệu,Công Ty Cổ Phần Nhà An Toàn,10 - 15 triệu,1 năm,Cao đẳng,2,Marketing - PRTiếp thị - Quảng cáo,TP.HCM,Chuyên viên- nhân viên,"1. Xây dựng Nội dung và thực hiện triển khai hệ thống content chuẩn SEO2. Xây dựng web vệ tinh và các nghiệp vụ tối ưu công cụ tìm kiếm, quản lý nội dung website3. Lập kế hoạch và đưa ra chiến lược nội dung, chiến lược từ khoá giúp tăng thứ hạng website công ty trên các trang tìm kiếm chính4. Phối hợp xây dựng nội dung trên các kênh social media: Facebook, youtube, zalo5. Thường xuyên cập nhật thông tin thị trường, thông tin về sản phẩm cũng như các chương trình của đối thủ cạnh tranh6. Theo dõi, đánh giá, giám sát và báo cáo kết quả công việc tuần/tháng cho cấp quản lý.","-Thu nhập: Thương lượng từ 10-12 triệu- Được công ty trang bị đầy đủ phương tiện làm việc máy tính cá nhân, điện thoại…- Cơ hội làm việc taị một trong các công ty đứng đầu ngành nhập khẩu và phân phối thiết bị an ninh - CCTV tại Việt Nam. Công ty về công nghệ nên môi trường trẻ năng động.- Thường xuyên tham gia các khóa học trau dồi chuyên môn, phát triển nghề nghiệp- Hưởng đầy đủ các chế độ Bảo hiểm, khám sức khỏe định kỳ.- Thưởng lễ, tết, thưởng cuối năm, nghỉ mát, các hoạt động tổ chức thường niên hàng quý theo quỹ phúc lợi.- Tham gia các hoạt động tập thể, thể thao nâng cao đời sống tinh thần cho nhân viên do công cty tài trợ kinh phí.","- Có kinh nghiệm về SEO và viết content - Hiểu biết về kỹ thuật chạy ads trên các nền tảng Facebook, Google.- Có kinh nghiệm làm MKT online, truyền thông- Có Khả năng đọc hiểu Tiếng Anh là 1 điểm cộng- Kỹ năng lập kế hoạch và tổ chức thực hiện công việc- Tư duy sáng tạo- Ngoại hình sáng, thích chụp ảnh.*** Thái độ:-	Kiên trì, chịu khó-	Nhanh nhẹn, nhiệt tình-	Năng động, linh hoạt-	Khả năng làm việc độc lập, nhạy bén."
https://vieclam24h.vn/nhan-vien-kinh-doanh/nhan-vien-dai-dien-kinh-doanh-job-hot-trong-mua-dich-luong-cung-6-5-10tr-thu-nhap-trung-binh-toi-thieu-30-trieu-c159p73id100127065.html?svs=max_box,"Nhân Viên Đại Diện Kinh Doanh – Job Hot Trong Mùa Dịch (Lương Cứng 6,5 -10Tr Thu Nhập Trung Bình Tối Thiểu 30 Triệu)",Công Ty Cổ Phần Đầu Tư Và Du Lịch Crystal Holidays ,7 - 10 triệu,Chưa có kinh nghiệm,Trung cấp,10,Bán hàngKD bất động sảnNhân viên kinh doanh,Hà Nội,Chuyên viên- nhân viên,"- Giới thiệu và bán sản phẩm, dịch vụ du lịch tới khách hàng hiện tại và các khách hàng tiềm năng; đảm bảo hoàn thành tốt mục tiêu doanh số được giao;- Phối hợp với bộ phận chăm sóc khách hàng và Marketing để chăm sóc và khai thác khách hàng tiềm năng- Tìm hiểu, thu thập thông tin, nhu cầu của khách hàng/ thị trường, thăm dò ý kiến khách hàng về hệ thống sản phẩm (chất lượng, dịch vụ, giá cả…)- Xây dựng và duy trì mối quan hệ với khách hàng hiện tại và khách hàng tiềm năng;- Tham gia thiết lập và triển khai các hoạt động thúc đẩy kinh doanh của công ty và các nhà đầu tư- Phối hợp với các phòng ban liên quan để hoàn thành các công việc liên quan đến bán hàng và các dịch vụ sau bán hàng;- Và các nhiệm vụ khác trên cơ sở thực tế tại Công ty và được cấp trên giao;","-	Mức lương cơ bản cạnh tranh 6,5tr – 10 triệu-	Hoa hồng & thu nhập trung bình tối thiểu là 30 triệu +++++/ tháng -	Được đào tạo miễn phí bới các chuyên gia, giảng viên trong và ngoài nước theo giáo trình Sales chuẩn Quốc tế.-	Tham gia các hoạt động cộng đồng xã hội, trải nghiệm du lịch cao cấp.-	Có cơ hội tư vấn và gặp gỡ các khách hàng sang trọng có địa vị trong xã hội.-	Có cơ hội thăng tiến trong công việc. -	Văn phòng làm việc sang trọng, không gian đẳng cấp 5 sao.","-	Tuổi từ 21- 31 tuổi-	Là người nhanh nhẹn, năng động, giao tiếp tốt, ngoại hình ưa nhìn, giọng nói chuẩn.-	Là người kiên nhẫn, mong muốn cơ hội học hỏi và phát triển bản thân.-	Có kinh nghiệm trong lĩnh vực TimeShare ( chưa có KN sẽ được đào tạo) "
